city,lat,lon,temp_avg,rain_total,clouds_avg,weather_score
Mont Saint Michel,48.6359541,-1.51146,17.3,0.0,47.0,12.6
Saint Malo,48.649518,-2.0260409,17.1,0.0,54.0,11.7
Bayeux,49.2764624,-0.7024738,18.0,0.0,42.9,13.71
Le Havre,49.4938975,0.1079732,17.8,0.0,41.3,13.67
Rouen,49.4404591,1.0939658,19.7,0.0,42.6,15.44
Paris,48.8588897,2.320041,23.3,1.0,37.6,19.04
Amiens,49.8941708,2.2956951,18.7,0.0,42.2,14.48
Lille,50.6365654,3.0635282,19.2,0.2,43.5,14.75
Strasbourg,48.584614,7.7507127,24.0,11.7,49.4,13.21
Chateau du Haut Koenigsbourg,48.249382,7.3439412,20.7,16.1,41.5,8.5
Colmar,48.0777517,7.3579641,23.6,14.2,45.2,11.98
Eguisheim,48.0447968,7.3079618,23.4,15.1,47.2,11.13
Besancon,47.2380222,6.0243622,23.3,2.2,45.4,17.66
Dijon,47.3215806,5.0414701,24.0,6.3,42.0,16.65
Annecy,45.8992348,6.1288847,23.6,11.2,44.0,13.6
Grenoble,45.1875602,5.7357819,24.9,5.5,41.5,18.0
Lyon,45.7578137,4.8320114,26.5,4.0,39.0,20.6
Gorges du Verdon,43.7496562,6.3285616,23.9,0.1,46.9,19.16
Bormes les Mimosas,43.1506968,6.3419285,26.5,0.1,29.2,23.53
Cassis,43.2140359,5.5396318,27.7,0.0,11.8,26.52
Marseille,43.2963986,5.3777888,28.8,0.0,11.2,27.68
Aix en Provence,43.5298424,5.4474738,29.7,0.1,20.6,27.59
Avignon,43.9492493,4.8059012,29.8,1.4,15.4,27.56
Uzes,44.0121279,4.4196718,28.8,2.1,16.1,26.14
Nimes,43.8374249,4.3600687,30.0,1.8,15.6,27.54
Aigues Mortes,43.5661521,4.19154,29.0,0.2,17.2,27.18
Saintes Maries de la mer,43.4515922,4.4277202,28.3,0.0,11.7,27.13
Collioure,42.52505,3.0831554,28.0,1.6,6.2,26.58
Carcassonne,43.2130358,2.3491069,25.2,7.6,29.5,18.45
Ariege,42.9455368,1.4065544,18.3,4.5,42.8,11.77
Toulouse,43.6044638,1.4442433,24.0,7.2,32.1,17.19
Montauban,44.0175835,1.3549991,23.7,25.5,31.7,7.78
Biarritz,43.4832523,-1.5592776,19.7,7.0,58.9,10.31
Bayonne,43.4945144,-1.4736657,19.8,7.1,58.5,10.4
La Rochelle,46.159732,-1.1515951,20.2,0.0,27.3,17.47
